ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,Unnamed: 25,file_loc,ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,ECM ForixTeamId,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_ECM ForixDriverId,DRIVER_*Extra 4,DRIVER_*Extra 5,Unnamed: 37,POWER,Unnamed: 26
27.0,1.0,5.0,1:17.232,0.0,,24.741,0.0,21.765,0.0,30.726,0.0,116.3,7:05.395,15:13:56.602,0:24.741,0:21.765,0:30.726,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,6.0,1:17.231,0.0,,25.203,0.0,21.640,0.0,30.388,0.0,116.3,8:22.626,15:15:13.833,0:25.203,0:21.640,0:30.388,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,7.0,1:17.058,0.0,,24.982,0.0,21.536,0.0,30.540,0.0,116.5,9:39.684,15:16:30.891,0:24.982,0:21.536,0:30.540,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,8.0,1:16.460,0.0,,24.563,0.0,21.547,0.0,30.350,0.0,117.4,10:56.144,15:17:47.351,0:24.563,0:21.547,0:30.350,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,9.0,1:17.097,0.0,,24.404,0.0,21.524,0.0,31.169,0.0,116.5,12:13.241,15:19:04.448,0:24.404,0:21.524,0:31.169,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,10.0,1:16.638,0.0,,24.873,0.0,21.563,0.0,30.202,0.0,117.2,13:29.879,15:20:21.086,0:24.873,0:21.563,0:30.202,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,11.0,1:16.958,0.0,,24.337,0.0,22.303,0.0,30.318,0.0,116.7,14:46.837,15:21:38.044,0:24.337,0:22.303,0:30.318,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,12.0,1:16.759,0.0,,24.610,0.0,22.302,0.0,29.847,0.0,117.0,16:03.596,15:22:54.803,0:24.610,0:22.302,0:29.847,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,13.0,1:16.143,0.0,,24.147,0.0,21.229,0.0,30.767,0.0,117.9,17:19.739,15:24:10.946,0:24.147,0:21.229,0:30.767,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,14.0,1:15.610,0.0,,24.314,0.0,21.333,0.0,29.963,0.0,118.7,18:35.349,15:25:26.556,0:24.314,0:21.333,0:29.963,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,15.0,1:15.080,0.0,,23.989,0.0,21.238,0.0,29.853,0.0,119.6,19:50.429,15:26:41.636,0:23.989,0:21.238,0:29.853,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,16.0,1:17.377,0.0,,24.116,0.0,21.337,0.0,31.924,0.0,116.0,21:07.806,15:27:59.013,0:24.116,0:21.337,0:31.924,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,17.0,1:15.621,0.0,,24.183,0.0,21.434,0.0,30.004,0.0,118.7,22:23.427,15:29:14.634,0:24.183,0:21.434,0:30.004,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,18.0,1:14.827,0.0,,23.926,0.0,21.220,0.0,29.681,0.0,120.0,23:38.254,15:30:29.461,0:23.926,0:21.220,0:29.681,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,19.0,1:14.892,0.0,,23.872,0.0,21.236,0.0,29.784,0.0,119.9,24:53.146,15:31:44.353,0:23.872,0:21.236,0:29.784,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,20.0,1:14.778,0.0,,23.919,0.0,21.013,0.0,29.846,0.0,120.1,26:07.924,15:32:59.131,0:23.919,0:21.013,0:29.846,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,21.0,1:16.283,0.0,,23.779,0.0,20.879,0.0,31.625,0.0,117.7,27:24.207,15:34:15.414,0:23.779,0:20.879,0:31.625,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,22.0,1:13.604,2.0,,23.548,0.0,20.825,0.0,29.231,2.0,122.0,28:37.811,15:35:29.018,0:23.548,0:20.825,0:29.231,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,23.0,1:14.569,0.0,,23.523,2.0,21.090,0.0,29.956,0.0,120.4,29:52.380,15:36:43.587,0:23.523,0:21.090,0:29.956,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,24.0,1:23.333,0.0,B,24.603,0.0,21.316,0.0,37.414,0.0,107.7,31:15.713,15:38:06.920,0:24.603,0:21.316,0:37.414,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,25.0,1:23.860,0.0,,33.320,0.0,21.053,0.0,29.487,0.0,107.1,32:39.573,15:39:30.780,0:33.320,0:21.053,0:29.487,,Alexander SIMS,0:00:23.579,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,26.0,1:15.017,0.0,,23.857,0.0,21.092,0.0,30.068,0.0,119.7,33:54.590,15:40:45.797,0:23.857,0:21.092,0:30.068,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,27.0,2:47.525,0.0,,50.469,0.0,48.563,0.0,1:08.493,0.0,53.6,36:42.115,15:43:33.322,0:50.469,0:48.563,1:08.493,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,28.0,3:20.803,0.0,,35.050,0.0,1:14.089,0.0,1:31.664,0.0,44.7,40:02.918,15:46:54.125,0:35.050,1:14.089,1:31.664,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,29.0,1:42.272,0.0,,34.392,0.0,31.509,0.0,36.371,0.0,87.8,41:45.190,15:48:36.397,0:34.392,0:31.509,0:36.371,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,30.0,1:16.139,0.0,,24.007,0.0,20.704,2.0,31.428,0.0,117.9,43:01.329,15:49:52.536,0:24.007,0:20.704,0:31.428,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,31.0,1:14.120,0.0,,24.045,0.0,20.844,0.0,29.231,0.0,121.1,44:15.449,15:51:06.656,0:24.045,0:20.844,0:29.231,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,32.0,1:22.525,0.0,B,23.801,0.0,21.047,0.0,37.677,0.0,108.8,45:37.974,15:52:29.181,0:23.801,0:21.047,0:37.677,,Alexander SIMS,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1.0,33.0,1:39.115,0.0,,47.025,0.0,21.742,0.0,30.348,0.0,90.6,47:17.089,15:54:08.296,0:47.025,0:21.742,0:30.348,,Alexander SIMS,0:00:36.265,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,0.0,24.126,0.0,,,0.0,,0.0,,0.0,88.8,24.126,15:07:15.333,,,,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,1.0,1:21.107,0.0,,26.072,0.0,22.833,0.0,32.202,0.0,110.7,1:45.233,15:08:36.440,0:26.072,0:22.833,0:32.202,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,2.0,1:19.133,0.0,,25.594,0.0,22.068,0.0,31.471,0.0,113.5,3:04.366,15:09:55.573,0:25.594,0:22.068,0:31.471,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,3.0,1:18.365,0.0,,25.310,0.0,21.510,0.0,31.545,0.0,114.6,4:22.731,15:11:13.938,0:25.310,0:21.510,0:31.545,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,4.0,1:17.328,0.0,,25.152,0.0,21.527,0.0,30.649,0.0,116.1,5:40.059,15:12:31.266,0:25.152,0:21.527,0:30.649,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,5.0,1:17.026,0.0,,24.736,0.0,21.319,0.0,30.971,0.0,116.6,6:57.085,15:13:48.292,0:24.736,0:21.319,0:30.971,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,6.0,1:16.312,0.0,,24.573,0.0,21.391,0.0,30.348,0.0,117.7,8:13.397,15:15:04.604,0:24.573,0:21.391,0:30.348,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,7.0,1:16.029,0.0,,24.471,0.0,21.232,0.0,30.326,0.0,118.1,9:29.426,15:16:20.633,0:24.471,0:21.232,0:30.326,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,8.0,1:16.358,0.0,,24.388,0.0,21.462,0.0,30.508,0.0,117.6,10:45.784,15:17:36.991,0:24.388,0:21.462,0:30.508,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,9.0,1:16.222,0.0,,24.555,0.0,21.467,0.0,30.200,0.0,117.8,12:02.006,15:18:53.213,0:24.555,0:21.467,0:30.200,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,10.0,1:15.522,0.0,,24.173,0.0,21.186,0.0,30.163,0.0,118.9,13:17.528,15:20:08.735,0:24.173,0:21.186,0:30.163,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,11.0,1:16.585,0.0,,24.272,0.0,21.855,0.0,30.458,0.0,117.2,14:34.113,15:21:25.320,0:24.272,0:21.855,0:30.458,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,12.0,1:16.602,0.0,,24.629,0.0,21.815,0.0,30.158,0.0,117.2,15:50.715,15:22:41.922,0:24.629,0:21.815,0:30.158,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,13.0,1:15.063,0.0,,24.034,0.0,20.996,0.0,30.033,0.0,119.6,17:05.778,15:23:56.985,0:24.034,0:20.996,0:30.033,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,14.0,1:16.210,0.0,,23.993,0.0,21.211,0.0,31.006,0.0,117.8,18:21.988,15:25:13.195,0:23.993,0:21.211,0:31.006,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,15.0,1:16.080,0.0,,24.688,0.0,21.365,0.0,30.027,0.0,118.0,19:38.068,15:26:29.275,0:24.688,0:21.365,0:30.027,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,16.0,1:14.716,0.0,,23.965,0.0,20.976,0.0,29.775,0.0,120.2,20:52.784,15:27:43.991,0:23.965,0:20.976,0:29.775,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,17.0,1:14.453,0.0,,23.906,0.0,20.911,0.0,29.636,0.0,120.6,22:07.237,15:28:58.444,0:23.906,0:20.911,0:29.636,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,18.0,1:14.610,0.0,,23.849,0.0,20.866,0.0,29.895,0.0,120.3,23:21.847,15:30:13.054,0:23.849,0:20.866,0:29.895,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,19.0,1:14.410,0.0,,23.669,0.0,21.012,0.0,29.729,0.0,120.7,24:36.257,15:31:27.464,0:23.669,0:21.012,0:29.729,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,20.0,1:14.488,0.0,,23.838,0.0,20.844,0.0,29.806,0.0,120.5,25:50.745,15:32:41.952,0:23.838,0:20.844,0:29.806,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,21.0,1:14.378,0.0,,23.739,0.0,20.829,0.0,29.810,0.0,120.7,27:05.123,15:33:56.330,0:23.739,0:20.829,0:29.810,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,22.0,1:15.896,0.0,,23.929,0.0,21.135,0.0,30.832,0.0,118.3,28:21.019,15:35:12.226,0:23.929,0:21.135,0:30.832,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,23.0,1:15.782,0.0,,24.600,0.0,21.125,0.0,30.057,0.0,118.5,29:36.801,15:36:28.008,0:24.600,0:21.125,0:30.057,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,24.0,1:14.722,0.0,,23.931,0.0,20.886,0.0,29.905,0.0,120.2,30:51.523,15:37:42.730,0:23.931,0:20.886,0:29.905,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,25.0,1:14.845,0.0,,23.786,0.0,21.017,0.0,30.042,0.0,120.0,32:06.368,15:38:57.575,0:23.786,0:21.017,0:30.042,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,26.0,1:15.972,0.0,,23.724,0.0,20.972,0.0,31.276,0.0,118.2,33:22.340,15:40:13.547,0:23.724,0:20.972,0:31.276,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,27.0,2:09.501,0.0,,23.800,0.0,34.912,0.0,1:10.789,0.0,69.3,35:31.841,15:42:23.048,0:23.800,0:34.912,1:10.789,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,28.0,4:14.516,0.0,,1:09.411,0.0,1:32.333,0.0,1:32.772,0.0,35.3,39:46.357,15:46:37.564,1:09.411,1:32.333,1:32.772,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,29.0,1:47.856,0.0,,37.731,0.0,34.267,0.0,35.858,0.0,83.2,41:34.213,15:48:25.420,0:37.731,0:34.267,0:35.858,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,30.0,1:13.933,0.0,,23.942,0.0,20.720,0.0,29.271,2.0,121.4,42:48.146,15:49:39.353,0:23.942,0:20.720,0:29.271,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,31.0,1:13.265,2.0,,23.587,2.0,20.394,2.0,29.284,0.0,122.5,44:01.411,15:50:52.618,0:23.587,0:20.394,0:29.284,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,32.0,1:13.456,0.0,,23.645,0.0,20.474,0.0,29.337,0.0,122.2,45:14.867,15:52:06.074,0:23.645,0:20.474,0:29.337,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.0,33.0,1:14.510,0.0,,24.000,0.0,20.821,0.0,29.689,0.0,120.5,46:29.377,15:53:20.584,0:24.000,0:20.821,0:29.689,,Antonio Felix DA COSTA,,,,BMW i ANDRETTI MOTORSPORT,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,0.0,29.977,0.0,,,0.0,,0.0,,0.0,71.5,29.977,15:07:21.184,,,,,Nelson PIQUET,,,,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,1.0,1:23.878,0.0,,27.651,0.0,23.840,0.0,32.387,0.0,107.0,1:53.855,15:08:45.062,0:27.651,0:23.840,0:32.387,,Nelson PIQUET,,,,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,2.0,1:20.382,0.0,,25.919,0.0,22.968,0.0,31.495,0.0,111.7,3:14.237,15:10:05.444,0:25.919,0:22.968,0:31.495,,Nelson PIQUET,,,,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,3.0,1:18.804,0.0,,25.565,0.0,22.360,0.0,30.879,0.0,113.9,4:33.041,15:11:24.248,0:25.565,0:22.360,0:30.879,,Nelson PIQUET,,,,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,4.0,1:18.122,0.0,,25.165,0.0,22.138,0.0,30.819,0.0,114.9,5:51.163,15:12:42.370,0:25.165,0:22.138,0:30.819,,Nelson PIQUET,,,,Panasonic Jaguar Racing,,,./Total_Lap_Num/2018-2019\AdD\Race\23_Analysis_Race (1).CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
