ï»¿POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,file_loc,ï»¿NUMBER,DRIVER_NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,CROSSING_FINISH_LINE_IN_PIT,S1,S1_IMPROVEMENT,S2,S2_IMPROVEMENT,S3,S3_IMPROVEMENT,KPH,ELAPSED,HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,MANUFACTURER,Unnamed: 25,Unnamed: 37,POSITION
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,24.0,1:11.891,0.0,,18.631,0.0,24.967,0.0,28.293,0.0,124.2,30:21.959,16:34:21.959,0:18.631,0:24.967,0:28.293,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,25.0,1:11.556,0.0,,18.568,0.0,24.499000000000002,0.0,28.489,0.0,124.8,31:33.515,16:35:33.515,0:18.568,0:24.499,0:28.489,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,26.0,1:11.514,0.0,,18.556,0.0,24.628,0.0,28.330,0.0,124.8,32:45.029,16:36:45.029,0:18.556,0:24.628,0:28.330,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,27.0,1:11.353,0.0,,18.633,0.0,24.51,0.0,28.210,2.0,125.1,33:56.382,16:37:56.382,0:18.633,0:24.510,0:28.210,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,28.0,1:11.423,0.0,,18.526,0.0,24.615,0.0,28.282,0.0,125.0,35:07.805,16:39:07.805,0:18.526,0:24.615,0:28.282,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,29.0,1:11.569,0.0,,18.701,0.0,24.634,0.0,28.234,0.0,124.7,36:19.374,16:40:19.374,0:18.701,0:24.634,0:28.234,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,30.0,1:11.156,0.0,,18.462,0.0,24.397,0.0,28.297,0.0,125.5,37:30.530,16:41:30.530,0:18.462,0:24.397,0:28.297,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,31.0,1:11.287,0.0,,18.486,0.0,24.491999999999997,0.0,28.309,0.0,125.2,38:41.817,16:42:41.817,0:18.486,0:24.492,0:28.309,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,32.0,1:11.161,0.0,,18.507,0.0,24.426,0.0,28.228,0.0,125.5,39:52.978,16:43:52.978,0:18.507,0:24.426,0:28.228,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,33.0,1:11.171,0.0,,18.444,2.0,24.48,0.0,28.247,0.0,125.4,41:04.149,16:45:04.149,0:18.444,0:24.480,0:28.247,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,34.0,1:11.325,0.0,,18.526,0.0,24.514,0.0,28.285,0.0,125.2,42:15.474,16:46:15.474,0:18.526,0:24.514,0:28.285,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,35.0,1:11.597,0.0,,18.605,0.0,24.59,0.0,28.402,0.0,124.7,43:27.071,16:47:27.071,0:18.605,0:24.590,0:28.402,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,36.0,1:12.543,0.0,,18.606,0.0,24.919,0.0,29.018,0.0,123.1,44:39.614,16:48:39.614,0:18.606,0:24.919,0:29.018,,Nicolas PROST,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,8.0,0.0,37.0,1:14.074,0.0,,18.919,0.0,25.230999999999998,0.0,29.924,0.0,120.5,45:53.688,16:49:53.688,0:18.919,0:25.231,0:29.924,,Nicolas PROST,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,1.0,52.757,0.0,,,0.0,,0.0,34.244,0.0,169.2,52.757,16:04:52.757,,,0:34.244,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,2.0,2:10.085,0.0,,56.823,0.0,43.919,0.0,29.343,0.0,68.6,3:02.842,16:07:02.842,0:56.823,0:43.919,0:29.343,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,3.0,1:13.231,0.0,,18.853,0.0,25.206999999999997,0.0,29.171,0.0,121.9,4:16.073,16:08:16.073,0:18.853,0:25.207,0:29.171,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,4.0,1:12.601,0.0,,18.748,0.0,24.958000000000002,0.0,28.895,0.0,123.0,5:28.674,16:09:28.674,0:18.748,0:24.958,0:28.895,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,5.0,1:12.481,0.0,,18.545,0.0,24.889,0.0,29.047,0.0,123.2,6:41.155,16:10:41.155,0:18.545,0:24.889,0:29.047,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,6.0,1:12.737,0.0,,18.588,0.0,25.136,0.0,29.013,0.0,122.7,7:53.892,16:11:53.892,0:18.588,0:25.136,0:29.013,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,7.0,1:12.319,0.0,,18.679,0.0,24.758000000000003,0.0,28.882,0.0,123.5,9:06.211,16:13:06.211,0:18.679,0:24.758,0:28.882,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,8.0,1:12.249,0.0,,18.582,0.0,24.772,0.0,28.895,0.0,123.6,10:18.460,16:14:18.460,0:18.582,0:24.772,0:28.895,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,9.0,1:12.440,0.0,,18.771,0.0,24.886999999999997,0.0,28.782,0.0,123.2,11:30.900,16:15:30.900,0:18.771,0:24.887,0:28.782,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,10.0,1:12.221,0.0,,18.641,0.0,24.763,0.0,28.817,0.0,123.6,12:43.121,16:16:43.121,0:18.641,0:24.763,0:28.817,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,11.0,1:12.225,0.0,,18.618,0.0,24.807,0.0,28.800,0.0,123.6,13:55.346,16:17:55.346,0:18.618,0:24.807,0:28.800,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,12.0,1:12.205,0.0,,18.650,0.0,24.799,0.0,28.756,0.0,123.6,15:07.551,16:19:07.551,0:18.650,0:24.799,0:28.756,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,13.0,1:12.794,0.0,,18.636,0.0,25.177,0.0,28.981,0.0,122.6,16:20.345,16:20:20.345,0:18.636,0:25.177,0:28.981,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,14.0,1:12.455,0.0,,18.749,0.0,24.903000000000002,0.0,28.803,0.0,123.2,17:32.800,16:21:32.800,0:18.749,0:24.903,0:28.803,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,15.0,1:12.076,2.0,,18.568,0.0,24.719,2.0,28.789,0.0,123.9,18:44.876,16:22:44.876,0:18.568,0:24.719,0:28.789,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,16.0,1:12.475,0.0,,18.676,0.0,24.908,0.0,28.891,0.0,123.2,19:57.351,16:23:57.351,0:18.676,0:24.908,0:28.891,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,17.0,1:12.505,0.0,,18.755,0.0,24.912,0.0,28.838,0.0,123.1,21:09.856,16:25:09.856,0:18.755,0:24.912,0:28.838,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,18.0,1:16.827,0.0,B,18.535,2.0,24.869,0.0,33.423,0.0,116.2,22:26.683,16:26:26.683,0:18.535,0:24.869,0:33.423,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,19.0,1:59.342,0.0,,1:05.472,0.0,24.964000000000002,0.0,28.906,0.0,74.8,24:26.025,16:28:26.025,1:05.472,0:24.964,0:28.906,,Oliver TURVEY,0:00:57.000,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,20.0,1:13.080,0.0,,18.743,0.0,25.413,0.0,28.924,0.0,122.2,25:39.105,16:29:39.105,0:18.743,0:25.413,0:28.924,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,21.0,1:12.847,0.0,,18.740,0.0,24.997,0.0,29.110,0.0,122.6,26:51.952,16:30:51.952,0:18.740,0:24.997,0:29.110,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,22.0,1:12.737,0.0,,18.732,0.0,25.101,0.0,28.904,0.0,122.7,28:04.689,16:32:04.689,0:18.732,0:25.101,0:28.904,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,23.0,1:12.247,0.0,,18.699,0.0,24.815,0.0,28.733,2.0,123.6,29:16.936,16:33:16.936,0:18.699,0:24.815,0:28.733,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,24.0,1:13.299,0.0,,19.108,0.0,25.046999999999997,0.0,29.144,0.0,121.8,30:30.235,16:34:30.235,0:19.108,0:25.047,0:29.144,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,25.0,1:13.187,0.0,,19.078,0.0,25.057,0.0,29.052,0.0,122.0,31:43.422,16:35:43.422,0:19.078,0:25.057,0:29.052,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,26.0,1:13.014,0.0,,18.933,0.0,25.014,0.0,29.067,0.0,122.3,32:56.436,16:36:56.436,0:18.933,0:25.014,0:29.067,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,27.0,1:13.181,0.0,,18.940,0.0,25.27,0.0,28.971,0.0,122.0,34:09.617,16:38:09.617,0:18.940,0:25.270,0:28.971,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,28.0,1:13.071,0.0,,18.913,0.0,25.116,0.0,29.042,0.0,122.2,35:22.688,16:39:22.688,0:18.913,0:25.116,0:29.042,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,29.0,1:12.855,0.0,,18.904,0.0,24.995,0.0,28.956,0.0,122.5,36:35.543,16:40:35.543,0:18.904,0:24.995,0:28.956,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,30.0,1:13.108,0.0,,19.081,0.0,24.99,0.0,29.037,0.0,122.1,37:48.651,16:41:48.651,0:19.081,0:24.990,0:29.037,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,31.0,1:14.524,0.0,,18.730,0.0,26.660999999999998,0.0,29.133,0.0,119.8,39:03.175,16:43:03.175,0:18.730,0:26.661,0:29.133,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,32.0,1:12.638,0.0,,18.670,0.0,25.015,0.0,28.953,0.0,122.9,40:15.813,16:44:15.813,0:18.670,0:25.015,0:28.953,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,33.0,1:12.407,0.0,,18.742,0.0,24.86,0.0,28.805,0.0,123.3,41:28.220,16:45:28.220,0:18.742,0:24.860,0:28.805,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,34.0,1:12.299,0.0,,18.588,0.0,24.842,0.0,28.869,0.0,123.5,42:40.519,16:46:40.519,0:18.588,0:24.842,0:28.869,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,35.0,1:13.163,0.0,,18.677,0.0,25.351999999999997,0.0,29.134,0.0,122.0,43:53.682,16:47:53.682,0:18.677,0:25.352,0:29.134,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,36.0,1:13.759,0.0,,18.811,0.0,25.71,0.0,29.238,0.0,121.0,45:07.441,16:49:07.441,0:18.811,0:25.710,0:29.238,,Oliver TURVEY,,,,,
,,,,,,,,,,NEXTEV NIO,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,88.0,0.0,37.0,1:15.293,0.0,,18.994,0.0,25.565,0.0,30.734,0.0,118.6,46:22.734,16:50:22.734,0:18.994,0:25.565,0:30.734,,Oliver TURVEY,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,1.0,50.771,0.0,,,0.0,,0.0,32.834,0.0,175.8,50.771,16:04:50.771,,,0:32.834,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,2.0,2:11.102,0.0,,57.224,0.0,44.888000000000005,0.0,28.990,0.0,68.1,3:01.873,16:07:01.873,0:57.224,0:44.888,0:28.990,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,3.0,1:13.160,0.0,,18.552,0.0,25.249000000000002,0.0,29.359,0.0,122.0,4:15.033,16:08:15.033,0:18.552,0:25.249,0:29.359,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,4.0,1:12.036,0.0,,18.443,0.0,24.924,0.0,28.669,0.0,123.9,5:27.069,16:09:27.069,0:18.443,0:24.924,0:28.669,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,5.0,1:12.359,0.0,,18.682,0.0,24.974,0.0,28.703,0.0,123.4,6:39.428,16:10:39.428,0:18.682,0:24.974,0:28.703,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,6.0,1:11.531,0.0,,18.357,0.0,24.646,0.0,28.528,0.0,124.8,7:50.959,16:11:50.959,0:18.357,0:24.646,0:28.528,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,7.0,1:11.685,0.0,,18.320,0.0,24.816999999999997,0.0,28.548,0.0,124.5,9:02.644,16:13:02.644,0:18.320,0:24.817,0:28.548,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,8.0,1:11.571,0.0,,18.386,0.0,24.758000000000003,0.0,28.427,0.0,124.7,10:14.215,16:14:14.215,0:18.386,0:24.758,0:28.427,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,9.0,1:11.593,0.0,,18.548,0.0,24.695999999999998,0.0,28.349,0.0,124.7,11:25.808,16:15:25.808,0:18.548,0:24.696,0:28.349,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,10.0,1:11.428,0.0,,18.434,0.0,24.526999999999997,0.0,28.467,0.0,125.0,12:37.236,16:16:37.236,0:18.434,0:24.527,0:28.467,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,11.0,1:11.443,0.0,,18.342,0.0,24.451,2.0,28.650,0.0,125.0,13:48.679,16:17:48.679,0:18.342,0:24.451,0:28.650,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,12.0,1:11.851,0.0,,18.632,0.0,24.633000000000003,0.0,28.586,0.0,124.3,15:00.530,16:19:00.530,0:18.632,0:24.633,0:28.586,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,13.0,1:11.642,0.0,,18.402,0.0,24.683000000000003,0.0,28.557,0.0,124.6,16:12.172,16:20:12.172,0:18.402,0:24.683,0:28.557,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,14.0,1:11.864,0.0,,18.532,0.0,24.71,0.0,28.622,0.0,124.2,17:24.036,16:21:24.036,0:18.532,0:24.710,0:28.622,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,15.0,1:11.811,0.0,,18.421,0.0,24.745,0.0,28.645,0.0,124.3,18:35.847,16:22:35.847,0:18.421,0:24.745,0:28.645,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,16.0,1:11.949,0.0,,18.517,0.0,24.668000000000003,0.0,28.764,0.0,124.1,19:47.796,16:23:47.796,0:18.517,0:24.668,0:28.764,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,17.0,1:12.002,0.0,,18.446,0.0,24.683000000000003,0.0,28.873,0.0,124.0,20:59.798,16:24:59.798,0:18.446,0:24.683,0:28.873,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,18.0,1:12.704,0.0,,18.722,0.0,24.94,0.0,29.042,0.0,122.8,22:12.502,16:26:12.502,0:18.722,0:24.940,0:29.042,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,19.0,1:17.281,0.0,B,19.124,0.0,25.109,0.0,33.048,0.0,115.5,23:29.783,16:27:29.783,0:19.124,0:25.109,0:33.048,,SÃ©bastien BUEMI,,,,,
,,,,,,,,,,Renault e.dams,,,,,,,,,,,,,,,,,,,,,,,,,,,./Total_Lap_Num/2016-2017\Buenos\Race\23_Analysis_Race (24).CSV,9.0,0.0,20.0,1:57.882,0.0,,1:04.397,0.0,25.02,0.0,28.465,0.0,75.7,25:27.665,16:29:27.665,1:04.397,0:25.020,0:28.465,,SÃ©bastien BUEMI,0:00:56.293,,,,
